id,FailureModes.Description,Platforms.Name as Platfrom,Components.Name as Component,SubComponents.Name as SubComponent,FailureModes.Functionality
1338,supress unwanted frequent interrupts,C2C3,Module mainL,Device,Module Specific file Save
1339,"If the program in a recipe doesn't contain any step with timed activity, then user will not be able to select any step and reload.",Nexus,Reload Manager,Reload Manager,User should be able to start the smart reload for all recipes listed
1340,If the recipe manager has not marked recipe invalid even though recipe elements are invalid,Nexus,Reload Manager,Reload Manager,Recipes listed should all be valid
1341,Partial deposition time is more than the dep time parameter of the step selected. SRI will be improper.,Nexus,Reload Manager,Reload Manager,Partial deposition given should be less than or equal to the dep time in program/step
1342,Purge fails due to wrong location of the wafers.,Nexus,Scheduler,Purge,When smart reload error's user should be able to recover and purge the wafers successfully.
1343,"When there were wafers in dcvd and new wafers were in cassette waiting for remaining time to expire, module soft shutdown was induced in dcvd.  This lead to module taking two more wafers.",Nexus,Scheduler,Timing Manager,Delay get from cassette enabled and induce module soft shutdown 
1344,"1st wafer was taken out from the FOUP when the FOUP was still in loaded state, run was from Host, this happens when one of the FOUP is unload and other is loaded in the same time.",C2C3,Module mainL,Cassette or FOUP management,Foup started processing wafer without chnaging to processing
1345,"Program step is not getting executed even if Ncs1/Ncs2/Ncs3/Ncs4 is non zero.Program step is getting executed even if Ncs1/Ncs2/Ncs3/Ncs4 is zero.",C2C3,Program,Program Execution,Program step execution for FFWQ Precoat program.
1346,FFWQ Precoat program is not getting executed as part of get ready list.,C2C3,Program,Program Execution,FFWQ Precoat program execution as part of get ready list.
1347,"1. Removal of valves/mfcs from program causes program failure.2. Few unused valves/mfcs are missed to be removed.3. Used valves/mfcs are accidentally removed.",C2C3,Program,Program Execution,Removal of valves/mfcs from program.
1348,The auto select compatible modules window is launched but with missing main module ,C2C3,UI,Program / Parameter Editor,Auto Param Set Propagation to Compatible Modules
1349,The auto select compatible modules window is launched but with no modules listed,C2C3,UI,Program / Parameter Editor,Auto Param Set Propagation to Compatible Modules
1350,The 'Close' button is enabled during the processing state. ,C2C3,UI,Program / Parameter Editor,Auto Param Set Propagation to Compatible Modules
1351,The operation is happening in the auto select window and the user is able to perform user actions on the parameter editor window. ,C2C3,UI,Program / Parameter Editor,Auto Param Set Propagation to Compatible Modules
1352,Modifying the existing IOC sequence for NUC cycles for trickle purge causes delay in nuc cycles.,C2C3,Module mainL,IOC,IOC Sequence
1353,Program excution fails for the programs which do not have the Trickle flow parameters,C2C3,Program,Program Execution,Program Execution
1354,The add program button is not disabled appropriately,C2C3,UI,Recipe Editor,Support Parallel-SPML recipe sequence in Sharp
1355,Unmark SPML deletes rows other than subrows ,C2C3,UI,Recipe Editor,Support Parallel-SPML recipe sequence in Sharp
1356,The precoat set index is not retained,C2C3,UI,Recipe Editor,Support Parallel-SPML recipe sequence in Sharp
1357,"If the sequence of parallel modules are not in order and one of the unordered row is set as precoat, then post ordering, the corresponding row is not marked as precoat.",C2C3,UI,Recipe Editor,Support Parallel-SPML recipe sequence in Sharp
1358,"When deleting a row that is set as precoat, the precoat selection is moved to another random row instead of clearing the precoat selection all together. ",C2C3,UI,Recipe Editor,Support Parallel-SPML recipe sequence in Sharp
1359,"For a recipe that is created and saved on Sharp recipe editor, and later opened in normal Proteus; The parallel-SPML(precoat) recipe when loaded on the view, does not show the program or pset name. The program and pset names are empty on the view. ",C2C3,UI,Recipe Editor,Support Parallel-SPML recipe sequence in Sharp
1360,Programs timing data is deleted/corrupted. which makes the recipe unlearnt,Nexus,Program Manager,Programs,Recipe should be learned when we have used the recipe before and there is no change in any programs used in that recipe.
2354,Wafer woluld wait in carrier handler even if the feature is disabled,Nexus,Scheduler,Wafer Sequencer,Sequencing wafer(s) from CE to FE
2355,N2 foup processing is not done as per the ECID set by the user.,C2C3,Module mainL,Cassette or FOUP management,N2 foup processing should be done as per the ECID set by the user.
2356,ECID value does not change on modification.,C2C3,FA,VID updates and management,ECID value updates as & when modified by the user.
2357,Shutdown list does not execute the TEOS injector purge program,C2C3,Program Executor,List Execution,SHutdown list (Multidown and TEOS down ) should execute the new TEOS injector purge program
2358,Program does not execute even if the parameter is enabled,C2C3,Program,Program Execution,"THe program should execute before/after clean if the ""RunP"" parameter is enabled in the correspondng parameter set"
2359,Full flush fails to execute after the injector purge program as part of the shutdown list,C2C3,Program Executor,List Execution,"Full Flush should be executed soon after the TEOS injector purge program is run with ""After Clean"" parameter set"
2360,vl31 is displayed on gas box screen for MFCD.Inst10 and not displatyed for MFCD.Inst5.,C2C3,UI,VG,"vl31  should not be displayed for MFCD.Inst10 CE under gas box screen.. vl31 should be displayed for MFCD.Inst5 CE under gas box screen."
2361,Gas box button and N2 gas cool pipe is not loaded for MFCD.Inst10.,C2C3,UI,VMap,Gas box button should be loade under main screen and  N2 gas cool pipe vg should be loaded under gas box screen for MFCD.Inst10 CE selection. 
2362,Above programs are not executed in similar manner for both CE settings.,C2C3,Program,Program Execution,"Leak rate program (uleakup.prg) , Multigascool program and multigas cool with loop program should execute same steps for both  MFCD.Inst5 and MFCD.inst5 CE settings. "
2363,History will not restart the timer as there is no indication for the history that scheduler is down.,C2C3,Wafer History,Wafer History,Scheduler going down with Wafer history backup requested.
2364,"scheduler will be waiting till the history completes the backup, if the history goes down, scheduler will still have the backup operation and will not accept new request when the history task comes up again",C2C3,Wafer History,Wafer History,Wafer history task going down during the backup process.
2365,"Whenever a new feature is added, make sure that it is tested with 'process pacing' option enabled. Also, pacing time should match. Any deviation in pacing time can lead to multiple issues like double depositon",Nexus,Scheduler,Pacing,Prevent double deposition
3357,DCVD door open Interlock exception,Nexus,Scheduler,Rules,DCVD to TC wafer movement
3358,Outbound loadlock door open interlock exception,Nexus,Scheduler,Rules,Inbound loadlock to TC wafer movement
3359,2 or more process modules running prepare for transfer at the same time,Nexus,Scheduler,Rules,Prepare for transfer
3360,Process module door open interlock exception,Nexus,Scheduler,Rules,Wafer movement from OLL to Frontend
3361,PM/OLL door open interlock exception,Nexus,Scheduler,Rules,TC to OLL movement
3362,Early prepare for transfer in OLL.,Nexus,Scheduler,Rules,Wafermovement from FE to ILL
3363,Early prepare for transfer in OLL/ILL,Nexus,Scheduler,Rules,Wafer movement from FE to CH
3364,HF/LF compensated setpoint exceed size of device,C2C3,Devices,RF generator,HF/LF Compensation 
3365,HF/LF Compensated setpoint is negative,C2C3,Devices,RF generator,HF/LF Compensation 
3366,HF/LF Compensation not applied even when enabled,C2C3,Devices,RF generator,HF/LF Compensation 
3367,HF/LF Compensation applied when disabled,C2C3,Devices,RF generator,HF/LF Compensation 
3368,SVIDs for data available on UI is missing,C2C3,UI,FA,SVIDs for data available on UI
3369,Failure to apply the right compensated value and hence the PDS values are not reported correctly,Nexus,Module,Process compensator,SDT compensation needs to be calculated correctly and PDS VIDs need to be reported for SDT Compensation
3370,Failed to calculate the SDT Compensation corretly and hecne PDS data is not correctly updated.,Nexus,Module,Process compensator,SDT compensation should be calculated correctly for Wafer Based Process compensation and the PDS data related to  updated correctly.
3371,SDT Compensation is done even if the threshold for accumulation / wafer count is reached,Nexus,Module,Process compensator,SDT compensation should not be done once the deposition / wafer processed count reaches the threshold value specified
3372,SDT compensation returns a compensated value,Nexus,Module,Process compensator,SDT compensator should return the dep time specified in the program as the compensated value when threshold is reached and smoot transition is disabled
3373,Process compensator device takes the old accumulation / processed wafer numbers when clean is performed and not the reset data,Nexus,Module,Process compensator,Process compensator device takes the right accumulation / processed wafer numbers when clean is performed
3374,User enters a value which results in a compensated time value which deviates largely from the provided dep time.,Nexus,Module,Process compensator,User should enter the right co-efficient value for process compensation in a program to get the right compensated time
3375,If the Repeated alarms are posted on Active Alarm separately for all of its instances without the ECID DisplayRepeatedAlarmSeparately set,Nexus,Alarm Manager,Alarm Manager,"Alarm Viewer should indicate the repeated alarms separately"
3376,The maximum alarm limit banner does not show up even though alarms have exceeded the 500 limit,Nexus,Alarm Manager,Alarm Manager,Alarm Viewer Max limit banner must be displayed
3377,The maximum alarm limit banner does not disappear even after alarms are cleared and the limit is reduced,Nexus,Alarm Manager,Alarm Manager,Alarm Viewer Max limit banner must not be displayed
3378,"On closing and reopening GUI or opening another GUI, the maximum alarm limit banner does not show up even though alarms limit is exceeded",Nexus,Alarm Manager,Alarm Manager,Alarm Viewer Max limit banner must be displayed
3379,The alarms have exceeded the maximum alarm limit and no notification is sent to host,Nexus,Alarm Manager,Alarm Manager,Alarm Maximum limit exceeded notification should be snet to Host
3380,"Recipe download fails after power cycle, as the ECID value is not persisted",Nexus,Factory automation,Recipe Management system,"Recipe Download has to pass with new field added, when the ECID for the download with this feature is set."
3381,Upload download fails due to change in upload download structure,Nexus,Factory automation,Recipe Management system,Recipe upload download should pass after upgrade without any changes in host scripts
3382,"Wafer is not pushed out, because its blocked due to wafer in TC.",Nexus,Scheduler,Wafer Sequencer,Wafer in VG module has to be pushed out once pacing timing is reached.
3383,Pacing timings is not maintianed as the staggerring of the wafers is not maintained.,Nexus,Scheduler,Operation Management,"When we have back to back recipe jobs, staggering has to be maintained and the pacing should work in VOHM"
3384,File Transfer haulted or EOF not received ,C2C3,UI,Proteus Framework,Support user define password for c2/root
3385,Unable to connect ,C2C3,UI,Proteus Framework,Support user define password for c2/root
3386,"Launching telnet failed (for both fresh install and upgrade)",C2C3,Install,Upgrade,Support user define password for c2/root
4380,Shutdown clean on load locks do not execute even when shutdown clean is running in the proces module and checkbox for simultaneous clean checked ,C2C3,Program Executor,Shutdown, Simultaneous clean on loadlocks should run when the clean is running in the process module 
4381,pump vent routines are running in loadlocks during process module clean even when the checkbox for simultaneous clean is unchecked ,C2C3,Program Executor,Shutdown,Pump vent cycles should not execute if the checkbox for siumultaneous clean is unchecked 
4382,Get ready is not triggered.,C2C3,Scheduler,Module Conditioning,Scheduler does not trigger get ready when RGR ECID is set
4383,Unable to create plates in parallel even if they send baths are compatible,C2C3,Scheduler,Recipe Management,Bath Compatibility
4384,Scheduler triggered RGR for a  recipe when tool is busy.,C2C3,Scheduler,Module Conditioning,Scheduler triggered RGR when tool is processing.
4385,Get ready is triggered for incorrect recipe parameter set.,C2C3,Scheduler,Module Conditioning,Scheduler triggered RGR for a  recipe different than the one set in the ECID 
4386,Unwanted get ready happens in all modules.,C2C3,Scheduler,Module Conditioning,Scheduler triggered RGR when a PJOB is waiting to be processed.
4387,Scheduer triggers RGR for process module only.,C2C3,Scheduler,Module Conditioning,Scheduer triggers RGR for process module only.
4388,Scheduer triggers RGR for offline modules.,C2C3,Scheduler,Module Conditioning,Scheduer triggers RGR for offline modules.
4389,Scheduer triggers RGR for errored modules.,C2C3,Scheduler,Module Conditioning,Scheduer triggers RGR for errored modules.
4390,Recipes might get marked invalid even if valid.,C2C3,Scheduler,Recipe Management,Bath Compatibility
4391,RGR functionality does not run.,C2C3,Scheduler,Module Conditioning,ECID is rejected
4392,RGR functionality available to all customers.,C2C3,Scheduler,Module Conditioning,Feature is available even without license(both not installed and elapsed.
4393,RGR functionality cannot be used.,C2C3,Scheduler,Module Conditioning,Feature is not available even withlicense.
4394,PE gets RGR trigger when module is executing. It throws fault alarm.,C2C3,Scheduler,Module Conditioning,Fault alarm leading to tool stop
4395,"On ER , Non IOC Step shows just resume option and thus complete dep is performed again ",C2C3,Program,Step timing,Multi Step Non IOC step should have only remaining dep time shown as part of ER 
4396,"On ER , the Non IOC step shows only resume option thereby performing the complete dep again ",C2C3,Program,Step timing,Multi Step Non IOC step should only show the remaining dep time as part of ER 
4397,"As part of ER , both Non IOC and IOC step are executed ",C2C3,Program,Step timing,Non IOC step when performed an ER should not execute the IOC step again as part of ER 
4398,SVID not working ,C2C3,FA,VID updates and management,SVID for Spindle theta position should be updated 
4399,Wafer is GET from cassette before vent completion.,C2C3,Scheduler,Module Conditioning,Load lock vent complete before wafer GET from cassette
4400,Feature does not work even when checkbox is enabled.,C2C3,Scheduler,Module Conditioning,Load lock vent complete before wafer GET from cassette
4401,Wafer is not GET from cassette after vent completion.,C2C3,Scheduler,Module Conditioning,Load lock vent complete before wafer GET from cassette
4402,Feature is triggered even in biderectional mode.,C2C3,Scheduler,Module Conditioning,Load lock vent complete before wafer GET from cassette should be applicable for unidirectional mode only.
4403,Get ready does not happen for the new lot or get ready happens for the incorrect program parameter set.,C2C3,Scheduler,Module Conditioning,RGR is triggered and a new lot with an incompatible recipe is loaded
4404,Get ready is not triggered for the arrived lot.,C2C3,Scheduler,Module Conditioning,RGR is triggered and standby timer gets elapsed before the new lot arrives.
4405,Pump/Vent time is not calculated or calculated incorrectly ,C2C3,Program,Program Execution,Pump/Vent time needs to be calculated every time the Chamber pump or vent program executes 
4406,SVIDs do not have correct default values or do not return the correct pump or vent execution times,C2C3,FA,VID updates and management,SVIDs for pump and vent times needs to be 0 by default and should update every time chamber pump or vent program executes for any load lock 
4407,"A system command executed to get the IP addresses of each node in the controllers if fails , there wont be any information of the IP addresses in the PCM report",C2C3,Utilities,PCM,Command failure
4408,File didn’t downloaded successfully,C2C3,UI,CS,Download File from the Qnx
4409,File not exported or no data pesent in the exported file.,C2C3,UI,Button Action,Export of file after clicking button
4410,Can't open file,C2C3,UI,Button Action,Read file after the button is clicked.
4411,Scheduler will create a deadlock scenario.,Nexus,Scheduler,Wafer Path,Running a recipe which doesn't use any loadlocks along with any other module recipe.
4412,"During DCVD get ready list execution, user selected Single step ""Prep"" and ""Precoat"" Program and parameter from the drop down list will not be execute for single step Recipe.",C2C3,Program,Program Execution,"During DCVD get ready list execution, user selected Single step ""Prep"" and ""Precoat"" Program and parameter from the drop down list will be execute for single step Recipe."
4413,SVIDs for data available on UI is missing,C2C3,UI,FA,SVIDs for data available on UI
4414,New CE option is not listed under DCVD module from CE settings,C2C3,UI,Configuration Editor,New CE option is listed under DCVD module from CE settings.
4415,"Data regarding user changed programs for ""Prep"" and ""Precoat"" from the drop down list for single step film types are not reported in PCM entry.",C2C3,UI,PCM,"Data regarding user changed programs for ""Prep"" and ""Precoat"" from the drop down list for single step film types are reported in PCM entry."
4416,"Drop down list will not be shown for Single step ""Prep"" and ""Precoat""  Program and Parameter slots for Single step Default film types even when CE settings is configured correctly.",C2C3,UI,VG,"Drop down list will be shown for Single step ""Prep"" and ""Precoat""  Program and Parameter slots for Single step Default film types when CE settings is configured correctly."
4417,"During Error recovery selected ""Prep"" and ""Precoat"" program and parameter will not be execute as part of the user selection from the drop down list for single step film types",C2C3,Program,Program error list,"During Error recovery selected ""Prep"" and ""Precoat"" program and parameter will be execute as part of the user selection from the drop down list for single step film types"
4418,Actuation time is not updated during pick and place wafer,C2C3,Devices,ATM Robot,Compute Actuation Time for pick and place wafer
4419,Diagnostic information is not displayed after clicking,C2C3,Devices,ATM Robot,Displaying the diagnostic information from VEctor Front End Robot Interface->Config->DisplayDiagnosticInformation
4420,"After clicking on diagnostic icon, diagnostic screen is not loaded.",C2C3,Devices,ATM Robot,Clicking on diagnostic screen icon to go to diagnostic screen
4421,"When three loadports are installed, it is not showing the slots for actuation time,target value and tolerence value for 3rd loadport in diagnostic screen",C2C3,Devices,ATM Robot,3 loadports installed
4422,After upgrade tolerance and target value are not retained.,C2C3,Devices,ATM Robot,Tolerance and target values are retained after upgrade
4423,Functionality is not working as expected,C2C3,Devices,ATM Robot,"Check the diagnostic functionality of DCVD,VGLL and VGLR modules"
4424,After enabling the diagnostic monitor checkbox actuation time is not getting calculated.,C2C3,Devices,ATM Robot,Diagnostic Monitor Enabled
4425,Not giving the warning alarm after crossing the tolerance limits,C2C3,Devices,ATM Robot,Out of spec Alarm enabled
4426,Giving the warning alarm after crossing the tolerance limit even is alarm checkbox is disabled.,C2C3,Devices,ATM Robot,Out of Alarm Disabled
4427,Computing the actuation time even the diagnostic monitoring is disabled,C2C3,Devices,ATM Robot,Diagnostic Monitoring Disabled
4428,Unable to fetch the value of SVID,C2C3,Devices,ATM Robot,SVID's should be added and all values should be fetched
4429,Slots are not shown in PCM entry,C2C3,Devices,ATM Robot,PCM entry for slots dignostic monitoring and alram check
4430,"If there are wafers backing out due to some reason and backing out wafers are of two different operations then deadlock might happen when rule(CH-FE) evaluation is different for two different operations.If wA25 and wB1 buddies up and rule result is different for both when moving out from CH then one might move and another might get stuck.",Nexus,Scheduler,Operation Management,No deadlock when handling two operations together.
4431,Wafer Deposition Count increment occurs more than once per deposition,Nexus,Module,Module capability,Wafer Deposition Count
4432,Pre or post treatment is incorrectly skipped,Nexus,Module,Module capability,Pre or post treatment
4433,pre and post treatment triggering logic is added incorrectly to program,Nexus,Module,Module capability,Process Program editing to add pre and post treatment
4434,Requirements change to the pre and post treatment triggering logic,Nexus,Module,Module capability,Pre and post treatment triggering logic
4435,Future pre and post treatment enhancements,Nexus,Module,Module capability,Pre and post treatment functionality
4436,Module doesn't perform reready/get ready which results in continuous calls from scheduler.,Nexus,Module,Get Ready,"Module should run re-ready when get ready is errored and rerun using ERM(Error recovery manager).ERM will run get ready as part of recovery and then a re ready is run once the module control is back to scheduler"
4437,"Since during changes regarding 'SPR00172232', unit of parameter 'dep_time' is changed from 'unitized number' to 'time' because API for SDT based compensation doesn't support unitized number for time. Hence if any customer wants to use these programs without migrating parameter then programs execution will fail. ",Nexus,Program Manager,Programs,SDT compensation for 'CVD-D SiO2 Deposition (IOC)' and 'CVD-D SiN Deposition (IOC)' programs without migrating parameter dep_time.
4438,"By default 'RF match mode' will be set to remote mode. If any customer wants to keep 'RF match mode' in local mode then parameter 'hf_match_mode' should be modified, else program will behave unexpectedly.",Nexus,Module,Module configuration,Toogle 'RF match mode' for oxide and nitride programs.
4439,"If boolean parameter 'sdt_comp_enabled' is false then execution time of deposition step will be standard deposition time, not compensated deposition time. In this case program will not throw any error only process will be impacted.",Nexus,Program Manager,Programs,Executing program without turning on boolean parameter for chamber accumulation based compensated deposition time.
4440,If threshold value is zero then chamber accumulation based compensated deposition time will be equal to standard deposition time. In this situation program will not throw any error but behaviour might be unexpected. And if threshold value is less than chamber accumulation then instead of accumulation threshold value will be used to calculate compensated deposition time.,Nexus,Program Manager,Programs,Calculating chamber accumulation based compensated deposition time with threshold value 0.
4441,Min and max values for ABBEC parameters are 0.2 and 1.8 respectively. If ABBEC parameters' values are out of range then program execution will fail.,Nexus,Program Manager,Programs,ABBEC parameters are out of range
4442,Program will not throw any error but ABBEC specific steps will not execute.,Nexus,Program Manager,Programs,Executing program without turning on boolean parameter specific to ABBEC.
4443,"Only setting 'RF match mode' to local mode through UI will not help, program parameter 'hf_match_mode' should also be set to 'local mode', else program execution will change 'RF match mode' to remote mode again. In this situation program execution will complete successfully but behaviour might be unexpected.",Nexus,Module,Module configuration,From UI 'RF match mode' is set to local mode but program parameter is still set to 'Remote mode'.
4444,"Only setting 'RF match mode' to remote mode through UI is not enough, program parameter 'hf_match_mode' should also be set to 'remote mode', else program execution will change 'RF match mode' to local mode again. In this situation program execution will complete successfully but behaviour might be unexpected.",Nexus,Module,Module configuration,From UI 'RF match mode' is set to remote mode but program parameter is still set to 'Local mode'.
4445,Program execution will be completed successfully but step to set 'RF match' values will not execute.,Nexus,Module,Module configuration,Executing program with parameter 'hf_match_mode' as unknown mode.
4446,Reload list is not deleted and avoids user to delete the recipe/program associated with it.,Nexus,Reload Manager,Reload Manager,Reload lists created for smart reload has to be removed after the operation is complete
4447,Soft Shutdown is not triggered even after communication is lost ,C2C3,Module mainL,IOC,"Whenever Communication with IOC 7 is lost , soft shutdown should be triggered "
4448,Device failure is not generated when any IOC apart from IOC 7 loses communication with module controller ,C2C3,Module mainL,IOC,"Whnever any othe IOC apart from IOC 7 loses communication with the module controller , then a device failure should be generated "
4449,Warning alrm is not posted on soft shutdown or it is not re posted after 120 seconds ,C2C3,Devices,IOC,"Warning Alarm should be posted once IOC 7 loses communication and soft shutdown is induuced .The warning alarm should be re posted after every 120 seconds ."
4450,Causes discrepancies in MCC Logging,C2C3,Data Logger,MARS Logging,Backward Compatibility
4451,Errored Wafer not marked as Red twice in the StepPDS tab if the user errors the wafer twice in the deposition step.,Nexus,UI Utilities,Wafer Log Viewer,Mark Errored Wafer As Red in StepPDS tab under Wafer Log Viewer.
4452,PCM comparison utility opens up blank and does throw any alarm or pop-up if no previous report os present in the nexusdata.,Nexus,UI Utilities,PCM,A new utility PCM Comparison App has been created which generates a PCM report and compares it with the most latest PCM report of the previous version and gives the comparison in the form of a Tabular Summary which can then be viewed as Visual Comparison.
4453,"Wafer based clean is not enabled by the used.",Nexus,Program Manager,Programs,"O2 clean has to be triggered post every deposition or every batch of wafers comes out, Batch could be less than 4 wafers."
4454,"In AHM550C Standby List, Conditional check for counter_for_clean is not equal to 7, or it is compared to some other value, other than 7",Nexus,Program Manager,List,Full clean needs to triggered post 8th Deposition
4455,"In AHM550C Standby List, while executing the O2 clean conditional check for counter_for_clean variable is not checked for less than 7.",Nexus,Program Manager,List,O2 clean needs to be triggered post every set of depostion for 7 consecutive depositions.
4456,"In  CVD-D AHM RPC Direct Clean T_with HF, value for number_of_cleans parameter is not set to 7.",Nexus,Program Manager,Programs,O2 clean needs to be triggered post every consecutive depostiion tii 7 depostion.
4457,Accumulation based clean in enabled by the user instead of Wafer based clean.,Nexus,Program Manager,Programs,Clean needs to be triggered based on number of wafers or the Batch of wafers completed deposition 
4458,Invalid file format ,C2C3,UI,Button Action,Compare PCM file
4459,html file not launched,C2C3,UI,Button Action,html file launch in explorer
4460,File comparison fails,C2C3,UI,Button Action,File read access denied
4461,"User Unable to chnage the ""Get Ready After FOUP Conditioning"" settings on the Film Information Screen",Nexus,UI Screens,UI Screens,"Making the right settings on the Film Information Screen for ""Get Ready After FOUP Conditioning"""
4462,Get Readys fails to run,Nexus,Scheduler,Operation Management,Get Ready should run afetr FOUP Conditioning for cascading FOUPs
4463,Get Ready does not run.,Nexus,Scheduler,Operation Execution,Get Ready should run after FOUP Conditioning.
4464,Get Ready errors out in between,Nexus,Scheduler,Operation Execution,Get Ready has to run after FOUP Conditioning
4465,Accumulation warning limit is reached after get ready.,Nexus,Module,Get Ready,Get Ready runs after FOUP Conditioning
4466,Short Get Ready is run,Nexus,Module,Get Ready,Get Ready has to run after FOUP Conditioning
4467,Get Ready fails to run.,Nexus,Module,Get Ready,Get Ready has to be run after FOUP conditioning
4468,ABBEC specific RF and SDT compensation will not be applied.,Nexus,Program Manager,Programs,Calculating ABBEC specific RF and SDT compensation by keeping parameters' values '1.0'
4469,"Existing UI API internally converts negative values to zero, hence Value of initial trials to be ignored will be set to zero.",Nexus,Module,Flow Calibration,User set negative value for initial trials to be ignored.
4470,Fault alarm will be posted on screen. Expected range for initial trials to be ignored is in between 0 and '(total trials-1)',Nexus,Module,Flow Calibration,"User set value for initial trials to be ignored, more than or equal to total trials."
4471,No error alarm or message will be shown on UI but result of average slope calculation might get impacted.,Nexus,Module,Flow Calibration,By mistaken user sets wrong value for initial trials to be ignored but in expected range.
4472,"Value of initial trials need to be ignored will be reset to zero, and all trials will be used for calculation of average slope.",Nexus,Module,Flow Calibration,Persisted value is lost for initial trials to be ignored.
4473,The start accumulation tracker method is missing,Nexus,Recipes,Recipe Manager,The deposition steps for a recipe should be present between the start and stop accumulation tracker method. The start accumulation tracker method indicates the deposition rate vale.
4474,Stop accumulation tracker method is not present in the program step.,Nexus,Program Manager,Programs,"The deposition steps should be included between start and stop accumulation tracker steps.On encountering a stop accumulation tracker step, the deposition for the steps between the tracker methods can be calculated"
4475,"Nexus does not support Multi-Process jobs, as any wafer that is repeated by jobs will make FA reject the consecutive jobs altogether.",Nexus,Factory automation,Recipe Management system,Multi-Process Jobs should run when FA receives the required messages from Host.
4476,"If the User sends a CJob in which 2 PJobs refer to the same wafer by mistake, earlier FA used to reject those jobs. Now such jobs will not be rejected.",Nexus,Factory automation,Recipe Management system,"With the introduction of Multi-Process Jobs in Nexus, any number of PJobs can process on the same set of wafer(s), as long as they are in a single CJob."
4477,"In case of a Multi Process Job, the consecutive PJobs might have to process the same wafers as the last job.Example:wA1-5 PJob1 (Recipe_ABC)wA5-7 PJob2 (Recipe_ABC)Here, when wA5 leaves cassette for PJob1, PJob2 has no wafer material to begin its process.No alarm will be thrown and Scheduler would have encountered an Irrecoverable Error.",Nexus,Scheduler,Recipe Execution,"Two Pjobs with same recipe are executing.When the last wafer of PJob1 has left the cassette, PJob2's first wafer(s) will also leave cassette and begin processing."
4478,"In Multi-Process Job, if PJob2 was to execute in the same scenario, it will create a deadlock as the last wafers of PJob1 that are returning would now have two sets of locations.One in Module bound to PJob1 and the second in FOUP bound to PJob2.",Nexus,Scheduler,Recipe Execution,"In simultaneous mode, 2 PJobs with different Recipes are executing.When PJob1's last wafer will leave the module it was processing in, PJob2's first wafer(s) will leave cassette."
4479,The min exec time does not store the dep_time value as type parameter or constant or request (method call) to get compensated dep time.,Nexus,Program Manager,Programs,"The deposition time value for a program is obtained from the step branch minimum execution time. The step retry mode will be TIMED ACTIVITY. The dep time is obtained from the min exec time if it is of type - paramter, constant or request(method call to get compensated dep time)."
4480,User didn't set the parameter enable_dep_based_etch as TRUE via Deposition Program,Nexus,Program Manager,Programs,Seting Etch_rate parameters feature needs to be done via Deposition Program.
4481,"Clean program will fetch values for hp_etch_rate and lp_etch_rate as 0, if they are not set in the Depoistion Program.Thus Clean without proper values , will not function as expected.",Nexus,Program Manager,Programs,"Value for Etch_rate parameters(hp_etch_rate and lp_etch_rate) needs to be set in the Deposition Program, if this feature (enable_dep_based_etch as TRUE) is enabled."
4482,"Feature needs to be enabled in the Clean Program also by setting enable_dep_based_etch parameter as TRUE, otherwise it will fetch default values which were set previously , and not the values set via Depoistion Program.Clean will not happen as expected.",Nexus,Program Manager,Programs,Clean program will fetch hp and lp etch rate paramters during cleaning which were set before via Deposition Program. 
4483,"User enables this new fetaure in Deposition Program (setting hp and lp etch rate via depoistion).But later doesnot enables the same via Clean Program also.Or user wants to switch to original functionality only where  hp and lp etch_rate parameters are set via Clean Program.",Nexus,Program Manager,Programs,Original functionality to be supported where hp and lp etch_rate parameters are set via Clean Program
4484,No error will be thrown but symmetric compensation will not be applied.,Nexus,Program Manager,Programs,Execute symmetric compensation without setting its boolean parameter to true.
4485,Program execution will fail in this scenario. Because infrastructure is upgraded to support ABBEC compensation for wafer hole scenarios. If only programs having ABBEC compensation for wafer hole scenarios are migrated without source code migration then program execution will fail.,Nexus,Program Manager,Programs,Old programs are migrated to new programs having changes specific to wafer holes scenarios but without migrating source code changes.
4486,"For ABBEC specific wafer hole scenarios, coefficients sequence is as given below.coefficients-12: When wafers inside chamber are at station 1 and 3.coefficients-13: When wafers inside chamber are at station 2 and 4.coefficients-14: When wafers inside chamber are at station 1, 2 and 4.If above mentioned sequence is not followed and values are entered in wrong sequence then wrong compensation might be applied.",Nexus,Program Manager,Programs,Value of parameters specific to wafer holes scenarios are entered in wrong sequence.
4487,"If wafer holes specific parameters have values 1.0, then ABBEC compensation will not be applied in case of wafer hole scenarios.",Nexus,Program Manager,Programs,Trying to apply ABBEC compensation for wafer hole scenarios by keeping parameter values to 1.0
4488,"If golden MFCs have ratio differences of more than 1% then warning message will be shown. But this functionality is not backward compatible. Hence if any customer wants to show error only then it will create a problem. Although we tried to provide an option to switch between error or warning message using test jig. But it is non-functional requirement hence changes made through test jig are not kept persistent. After bootup of tool, settings will be reverted back to warning message if ratio difference of golden MFCs are more than 1%.",Nexus,Module,Flow Calibration,Golden MFCs have ratio differences of more than 1%.
4489,"If golden MFCs have ratio difference of more than 1% then during calibration of non-golden MFC, warning alarm will be thrown. In alarm message, names of golden MFCs are mentioned as N2 and He. If gasbox doesn't support N2 and He as golden MFCs then also in alarm message name of golden MFCs are shown as N2 and He. It is an existing behavior and we have not modified it.",Nexus,Module,Flow Calibration,Calibrating non-golden MFCs when gasbox doesn't have N2 and He as golden MFCs and ratio difference of golden MFCs are more than 1%.
